NAME_1,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Hokkaido,1905.2523,2393.4483,1980.5355,1611.6309,1478.8143,1372.8051,1283.9697,-647.478,-33.04401107
Aomori,792.0639,760.8744,738,616.3614,558.8982,564.6402,527.535,-269.4006,-33.66882102
Iwate,722.5614,697.6899,671.4036,591.6663,578.6172,525.681,557.9586,-163.7325,-22.5501048
Miyagi,1032.4683,975.0015,1035.576,948.0726,886.023,790.0236,861.0363,-164.4453,-15.70707948
Akita,1336.7196,1279.4094,1202.0508,1119.0024,1090.3617,1101.8439,1030.6089,-333.9216,-24.37467563
Yamagata,861.3225,847.8954,816.2847,703.953,660.2805,663.6861,663.2271,-198.2538,-22.96245025
Fukushima,808.3413,843.4638,889.9398,754.2009,741.6333,660.9069,651.1572,-163.422,-19.92877094
Ibaraki,1118.4246,961.8822,922.3227,945.7353,921.1059,950.2902,819.576,-301.0329,-26.72775377
Tochigi,823.6179,757.3014,659.7639,714.7782,691.2999,587.7315,621.6408,-202.1247,-24.46054214
Gunma,266.8986,293.7231,181.5372,165.2976,145.5075,133.4691,155.3526,-109.7973,-40.97805605
Saitama,527.1624,404.658,349.2432,384.975,371.673,320.8815,356.0418,-170.5941,-32.27788932
Chiba,751.6809,719.6076,708.318,659.9943,665.6301,663.1695,604.1538,-146.5596,-19.37862359
Tokyo,10.5354,11.9745,1.5399,2.4462,0.8784,1.9521,2.4345,-8.1045,-75.5009642
Kanagawa,55.9458,81.3609,29.6487,35.8074,30.6999,31.7763,27.4572,-24.4746,-43.10623593
Niigata,1688.7726,1652.2911,1532.7837,1471.9653,1458.6111,1424.2959,1439.7282,-249.6456,-14.72555743
Toyama,570.1752,552.3372,541.5165,543.0636,491.9859,487.1898,442.8657,-126.6489,-22.12834411
Ishikawa,351.3006,362.5263,347.742,341.9154,314.2575,298.8585,284.8383,-66.4596,-18.85858614
Fukui,407.3796,389.5047,377.8632,370.7874,354.4038,333.2376,300.3507,-103.8438,-25.42971686
Yamanashi,75.2175,51.7041,53.9712,38.9925,34.92,31.8186,34.8516,-39.6585,-52.4314934
Nagano,465.651,474.1101,401.6871,356.9724,356.4594,345.5244,321.2325,-142.956,-30.61344455
Gifu,187.8624,186.3909,218.3436,253.7235,233.9667,258.8724,213.2397,25.9983,13.80759138
Shizuoka,245.5164,204.9066,143.4879,142.0173,166.0185,119.9898,108.3996,-134.1189,-54.41085727
Aichi,349.2126,309.1347,315.5049,287.0136,315.7182,254.7036,254.9664,-94.3623,-26.96037213
Mie,357.8445,371.8665,401.2272,322.3332,329.3559,310.7223,255.8241,-101.6703,-28.3776078
Shiga,564.8814,556.9128,448.8939,510.6573,451.8558,430.983,404.7174,-160.6275,-28.2904769
Kyoto,185.2182,168.9264,127.8891,142.9542,124.1703,120.8322,114.129,-71.0118,-38.2714732
Osaka,44.8002,39.3633,77.0274,28.1556,21.618,16.8183,20.7927,-24.1317,-53.30404358
Hyogo,490.3857,381.0942,400.4847,353.0367,299.2518,222.5574,269.8155,-222.2136,-44.98864825
Nara,82.0674,101.169,99.9279,73.7847,72.1953,35.2089,62.6175,-19.5633,-23.73890157
Wakayama,75.2085,73.5012,80.7156,34.7364,42.9354,28.0368,30.3777,-44.9829,-59.2767855
Tottori,127.0971,128.5425,129.8178,104.3946,82.9458,92.9214,55.7847,-71.73,-56.14613493
Shimane,181.5381,208.6731,185.2011,150.9579,133.9632,123.1425,114.0723,-67.0167,-36.73466367
Okayama,282.5838,278.6427,269.6364,205.9434,156.9708,179.172,70.0956,-213.1632,-75.11591767
Hiroshima,146.5731,217.7577,169.7958,143.9847,139.5252,137.1888,102.51,-44.2737,-30.05602703
Yamaguchi,164.241,231.4575,155.2167,186.8733,132.8292,148.0446,140.3739,-27.0297,-16.08209994
Tokushima,140.4999,140.0022,168.8661,116.55,122.3622,95.9796,64.6578,-76.3614,-54.01692207
Kagawa,156.4092,101.2653,123.6861,68.418,65.178,48.3201,32.9391,-123.7383,-78.42686502
Ehime,124.7571,84.2337,90.054,88.0587,83.3103,67.2867,38.2896,-86.9391,-69.28682604
Kochi,112.6017,128.1087,124.7283,113.2956,99.7371,100.7586,84.8817,-25.4241,-22.46423488
Fukuoka,363.8997,318.2049,106.515,319.0527,194.6646,224.2251,196.9785,-164.6127,-45.08909202
Saga,257.0769,310.3416,76.914,277.2054,224.4312,79.461,144.2286,-112.6962,-43.77348729
Nagasaki,70.3665,96.6987,49.9779,73.7316,61.6491,35.7777,41.9211,-28.8612,-40.05045648
Kumamoto,295.9335,467.2584,279.3636,329.5404,238.9473,173.3445,214.092,-83.6694,-28.04742654
Oita,128.2527,222.1704,166.4316,153.4284,122.3109,121.3497,127.7883,-0.6642,-0.51548192
Miyazaki,108.7866,270.738,268.3017,238.9725,202.4064,165.141,139.8213,31.2876,28.66519344
Kagoshima,256.572,349.461,237.6054,249.3117,212.0868,187.4664,211.4712,-41.2083,-15.9729708
All Japan,20071.6776,20457.5859,18357.3414,17345.7495,16162.4646,15068.0862,14500.8018,-5615.3385,-27.71659271